row_element,column_element,cooccurrence_count
As,As,25
As,B,0
As,Br,0
As,C,25
As,Cl,0
As,Co,0
As,F,0
As,Fe,0
As,H,25
As,I,0
As,K,0
As,Mg,0
As,N,21
As,Na,0
As,O,25
As,P,0
As,S,10
As,Se,0
As,Si,0
B,As,0
B,B,136
B,Br,8
B,C,136
B,Cl,21
B,Co,0
B,F,36
B,Fe,0
B,H,136
B,I,0
B,K,0
B,Mg,0
B,N,121
B,Na,0
B,O,136
B,P,0
B,S,12
B,Se,0
B,Si,0
Br,As,0
Br,B,8
Br,Br,4212
Br,C,4212
Br,Cl,235
Br,Co,0
Br,F,460
Br,Fe,0
Br,H,4212
Br,I,6
Br,K,0
Br,Mg,0
Br,N,3924
Br,Na,0
Br,O,3945
Br,P,10
Br,S,770
Br,Se,0
Br,Si,0
C,As,25
C,B,136
C,Br,4212
C,C,443905
C,Cl,27230
C,Co,16
C,F,40395
C,Fe,6
C,H,443900
C,I,1338
C,K,85
C,Mg,1
C,N,287885
C,Na,514
C,O,429026
C,P,15524
C,S,55987
C,Se,67
C,Si,77
Cl,As,0
Cl,B,21
Cl,Br,235
Cl,C,27230
Cl,Cl,27230
Cl,Co,0
Cl,F,4737
Cl,Fe,0
Cl,H,27227
Cl,I,70
Cl,K,1
Cl,Mg,0
Cl,N,25325
Cl,Na,3
Cl,O,25381
Cl,P,337
Cl,S,4785
Cl,Se,0
Cl,Si,1
Co,As,0
Co,B,0
Co,Br,0
Co,C,16
Co,Cl,0
Co,Co,16
Co,F,0
Co,Fe,0
Co,H,16
Co,I,0
Co,K,0
Co,Mg,0
Co,N,16
Co,Na,0
Co,O,16
Co,P,0
Co,S,0
Co,Se,0
Co,Si,0
F,As,0
F,B,36
F,Br,460
F,C,40395
F,Cl,4737
F,Co,0
F,F,40395
F,Fe,0
F,H,40395
F,I,249
F,K,0
F,Mg,0
F,N,38407
F,Na,2
F,O,38675
F,P,376
F,S,7190
F,Se,2
F,Si,51
Fe,As,0
Fe,B,0
Fe,Br,0
Fe,C,6
Fe,Cl,0
Fe,Co,0
Fe,F,0
Fe,Fe,6
Fe,H,6
Fe,I,0
Fe,K,0
Fe,Mg,0
Fe,N,6
Fe,Na,0
Fe,O,6
Fe,P,0
Fe,S,0
Fe,Se,0
Fe,Si,0
H,As,25
H,B,136
H,Br,4212
H,C,443900
H,Cl,27227
H,Co,16
H,F,40395
H,Fe,6
H,H,443900
H,I,1338
H,K,85
H,Mg,1
H,N,287883
H,Na,514
H,O,429021
H,P,15524
H,S,55987
H,Se,67
H,Si,77
I,As,0
I,B,0
I,Br,6
I,C,1338
I,Cl,70
I,Co,0
I,F,249
I,Fe,0
I,H,1338
I,I,1338
I,K,0
I,Mg,0
I,N,1299
I,Na,0
I,O,1263
I,P,0
I,S,47
I,Se,0
I,Si,0
K,As,0
K,B,0
K,Br,0
K,C,85
K,Cl,1
K,Co,0
K,F,0
K,Fe,0
K,H,85
K,I,0
K,K,85
K,Mg,0
K,N,52
K,Na,0
K,O,85
K,P,0
K,S,51
K,Se,0
K,Si,0
Mg,As,0
Mg,B,0
Mg,Br,0
Mg,C,1
Mg,Cl,0
Mg,Co,0
Mg,F,0
Mg,Fe,0
Mg,H,1
Mg,I,0
Mg,K,0
Mg,Mg,1
Mg,N,1
Mg,Na,0
Mg,O,1
Mg,P,0
Mg,S,1
Mg,Se,0
Mg,Si,0
N,As,21
N,B,121
N,Br,3924
N,C,287885
N,Cl,25325
N,Co,16
N,F,38407
N,Fe,6
N,H,287883
N,I,1299
N,K,52
N,Mg,1
N,N,287885
N,Na,269
N,O,274660
N,P,13815
N,S,54263
N,Se,67
N,Si,70
Na,As,0
Na,B,0
Na,Br,0
Na,C,514
Na,Cl,3
Na,Co,0
Na,F,2
Na,Fe,0
Na,H,514
Na,I,0
Na,K,0
Na,Mg,0
Na,N,269
Na,Na,514
Na,O,514
Na,P,71
Na,S,76
Na,Se,0
Na,Si,0
O,As,25
O,B,136
O,Br,3945
O,C,429026
O,Cl,25381
O,Co,16
O,F,38675
O,Fe,6
O,H,429021
O,I,1263
O,K,85
O,Mg,1
O,N,274660
O,Na,514
O,O,429026
O,P,15499
O,S,53028
O,Se,61
O,Si,28
P,As,0
P,B,0
P,Br,10
P,C,15524
P,Cl,337
P,Co,0
P,F,376
P,Fe,0
P,H,15524
P,I,0
P,K,0
P,Mg,0
P,N,13815
P,Na,71
P,O,15499
P,P,15524
P,S,946
P,Se,0
P,Si,0
S,As,10
S,B,12
S,Br,770
S,C,55987
S,Cl,4785
S,Co,0
S,F,7190
S,Fe,0
S,H,55987
S,I,47
S,K,51
S,Mg,1
S,N,54263
S,Na,76
S,O,53028
S,P,946
S,S,55987
S,Se,0
S,Si,0
Se,As,0
Se,B,0
Se,Br,0
Se,C,67
Se,Cl,0
Se,Co,0
Se,F,2
Se,Fe,0
Se,H,67
Se,I,0
Se,K,0
Se,Mg,0
Se,N,67
Se,Na,0
Se,O,61
Se,P,0
Se,S,0
Se,Se,67
Se,Si,0
Si,As,0
Si,B,0
Si,Br,0
Si,C,77
Si,Cl,1
Si,Co,0
Si,F,51
Si,Fe,0
Si,H,77
Si,I,0
Si,K,0
Si,Mg,0
Si,N,70
Si,Na,0
Si,O,28
Si,P,0
Si,S,0
Si,Se,0
Si,Si,77
