element,count,percent_of_records
C,443905,100.0
H,443900,99.99887363287189
O,429026,96.64815670019486
N,287885,64.8528401347135
S,55987,12.612383280206352
F,40395,9.099920027933905
Cl,27230,6.1341953796420405
P,15524,3.497144659330262
Br,4212,0.9488516687129004
I,1338,0.30141584348002387
Na,514,0.1157905407688582
B,136,0.030637185884367153
K,85,0.01914824117772947
Si,77,0.017346053772766695
Se,67,0.015093319516563229
As,25,0.005631835640508668
Co,16,0.003604374809925547
Fe,6,0.0013516405537220802
Mg,1,0.00022527342562034668
