atom_count,record_count,percent_of_formula_records,contains_target
0,5,0.0011263671281017335,false
1,5,0.0011263671281017335,true
2,73,0.01644496007028531,true
3,191,0.043027224293486224,true
4,2088,0.4703709126952839,true
5,1734,0.39062412002568114,true
6,7595,1.710951667586533,true
7,4374,0.9853459636633964,true
8,9170,2.065757312938579,true
9,6882,1.550331715119226,true
10,14408,3.2457395163379554,true
11,9372,2.111262544913889,true
12,16612,3.7422421464051996,true
13,10824,2.4383595589146325,true
14,16502,3.717462069586961,true
15,13203,2.9742850384654376,true
16,17572,3.958504635000732,true
17,13853,3.120712765118663,true
18,21532,4.850587400457305,true
19,14792,3.3322445117761683,true
20,23301,5.249096090379698,true
21,14903,3.3572498620200264,true
22,23123,5.208997420619276,true
23,12441,2.802626688142733,true
24,19363,4.361969340286773,true
25,9482,2.1360426217321273,true
26,14012,3.1565312397922978,true
27,8259,1.8605332221984434,true
28,12903,2.9067030107793332,true
29,5581,1.257250988387155,true
30,12085,2.72242934862189,true
31,3620,0.815489800745655,true
32,9109,2.052015633975738,true
33,2397,0.539980401211971,true
34,7123,1.6046226106937296,true
35,2046,0.4609094288192293,true
36,4144,0.9335330757707168,true
37,1851,0.4169811108232617,true
38,3323,0.7485835933364121,true
39,1735,0.39084939345130154,true
40,4489,1.0112524076097364,true
41,1779,0.4007614241785968,true
42,4263,0.9603406134195379,true
43,1592,0.35863529358759194,true
44,3756,0.8461269866300222,true
45,2788,0.6280623106295266,true
46,3398,0.7654791002579381,true
47,1629,0.3669704103355448,true
48,5271,1.1874162264448473,true
49,2206,0.4969531769184848,true
50,3837,0.8643741341052703,true
51,898,0.2022955362070713,true
52,2061,0.46428853020353456,true
53,551,0.12412565751681102,true
54,1549,0.34894853628591704,true
55,434,0.09776866671923046,true
56,1972,0.4442391953233237,true
57,295,0.06645566055800227,true
58,1303,0.2935312735833117,true
59,223,0.05023597391333732,true
60,1585,0.3570583796082495,true
61,303,0.06825784796296505,true
62,2169,0.48861806017053194,true
63,195,0.04392831799596761,true
64,755,0.17008143634336176,true
65,226,0.05091179419019835,true
66,868,0.19553733343846091,true
67,314,0.07073585564478886,true
68,755,0.17008143634336176,true
69,414,0.09326319820682352,true
70,872,0.1964384271409423,true
71,193,0.04347777114472691,true
72,2493,0.5616066500715243,true
73,276,0.062175465471215684,true
74,1018,0.2293283472815129,true
75,455,0.10249940865725775,true
76,1612,0.36314076209999885,true
77,310,0.06983476194230748,true
78,2455,0.5530462598979512,true
79,195,0.04392831799596761,true
80,1545,0.3480474425834356,true
81,262,0.05902163751253084,true
82,2325,0.523760714567306,true
83,212,0.047757966231513495,true
84,1566,0.3527781845214629,true
85,163,0.03671956837611651,true
86,646,0.14552663295074397,true
87,124,0.02793390477692299,true
88,371,0.08357644090514862,true
89,86,0.019373514603349816,true
90,682,0.15363647627307644,true
91,165,0.037170115227357206,true
92,469,0.10565323661594259,true
93,144,0.03243937328932992,true
94,181,0.04077449003728276,true
95,260,0.05857109066129014,true
96,302,0.06803257453734471,true
97,35,0.007884569896712134,true
98,182,0.0409997634629031,true
99,15,0.0033791013843052003,true
100,84,0.01892296775210912,true
101,90,0.020274608305831204,true
102,124,0.02793390477692299,true
103,17,0.003829648235545894,true
104,52,0.011714218132258028,true
105,2,0.00045054685124069335,true
106,102,0.022977889413275363,true
107,17,0.003829648235545894,true
108,22,0.004956015363647628,true
109,16,0.003604374809925547,true
110,33,0.0074340230454714405,true
111,94,0.021175702008312588,true
112,18,0.00405492166116624,true
113,7,0.0015769139793424267,true
114,12,0.0027032811074441604,true
115,1,0.00022527342562034668,true
116,9,0.00202746083058312,true
117,10,0.002252734256203467,true
118,5,0.0011263671281017335,true
119,2,0.00045054685124069335,true
120,13,0.002928554533064507,true
121,6,0.0013516405537220802,true
123,3,0.0006758202768610401,true
124,5,0.0011263671281017335,true
125,1,0.00022527342562034668,true
126,1,0.00022527342562034668,true
128,2,0.00045054685124069335,true
130,1,0.00022527342562034668,true
131,3,0.0006758202768610401,true
132,9,0.00202746083058312,true
133,1,0.00022527342562034668,true
134,1,0.00022527342562034668,true
136,1,0.00022527342562034668,true
137,4,0.0009010937024813867,true
138,3,0.0006758202768610401,true
139,4,0.0009010937024813867,true
140,8,0.0018021874049627734,true
141,5,0.0011263671281017335,true
142,8,0.0018021874049627734,true
144,2,0.00045054685124069335,true
145,1,0.00022527342562034668,true
146,3,0.0006758202768610401,true
148,1,0.00022527342562034668,true
149,3,0.0006758202768610401,true
150,9,0.00202746083058312,true
151,2,0.00045054685124069335,true
152,3,0.0006758202768610401,true
153,1,0.00022527342562034668,true
174,1,0.00022527342562034668,true
223,1,0.00022527342562034668,true
226,2,0.00045054685124069335,true
